kode_barang,nama_barang,stok,nama_bagian
BRG-0807,"Barang Contoh Ke-807",53,"Penetapan Hak dan Pendaftaran"
BRG-0808,"Barang Contoh Ke-808",449,"Penetapan Hak dan Pendaftaran"
BRG-0809,"Barang Contoh Ke-809",193,"Penetapan Hak dan Pendaftaran"
BRG-0810,"Barang Contoh Ke-810",15,"Tata Usaha"
BRG-0811,"Barang Contoh Ke-811",163,"Pengendalian dan Penanganan Sengketa"
BRG-0812,"Barang Contoh Ke-812",343,"Pengendalian dan Penanganan Sengketa"
BRG-0813,"Barang Contoh Ke-813",226,"Survei dan Pemetaan"
BRG-0814,"Barang Contoh Ke-814",288,"Tata Usaha"
BRG-0815,"Barang Contoh Ke-815",450,"Pengadaan Tanah dan Pengembangan"
BRG-0816,"Barang Contoh Ke-816",281,"Pengadaan Tanah dan Pengembangan"
BRG-0817,"Barang Contoh Ke-817",400,"Penetapan Hak dan Pendaftaran"
BRG-0818,"Barang Contoh Ke-818",393,"Penataan dan Pemberdayaan"
BRG-0819,"Barang Contoh Ke-819",313,"Survei dan Pemetaan"
BRG-0820,"Barang Contoh Ke-820",301,"Tata Usaha"
BRG-0821,"Barang Contoh Ke-821",443,"Penetapan Hak dan Pendaftaran"
BRG-0822,"Barang Contoh Ke-822",122,"Penataan dan Pemberdayaan"
BRG-0823,"Barang Contoh Ke-823",317,"Penataan dan Pemberdayaan"
BRG-0824,"Barang Contoh Ke-824",70,"Penataan dan Pemberdayaan"
BRG-0825,"Barang Contoh Ke-825",67,"Tata Usaha"
BRG-0826,"Barang Contoh Ke-826",222,"Survei dan Pemetaan"
BRG-0827,"Barang Contoh Ke-827",405,"Survei dan Pemetaan"
BRG-0828,"Barang Contoh Ke-828",455,"Penetapan Hak dan Pendaftaran"
BRG-0829,"Barang Contoh Ke-829",36,"Penetapan Hak dan Pendaftaran"
BRG-0830,"Barang Contoh Ke-830",152,"Penataan dan Pemberdayaan"
BRG-0831,"Barang Contoh Ke-831",96,"Survei dan Pemetaan"
BRG-0832,"Barang Contoh Ke-832",376,"Survei dan Pemetaan"
BRG-0833,"Barang Contoh Ke-833",191,"Tata Usaha"
BRG-0834,"Barang Contoh Ke-834",293,"Penataan dan Pemberdayaan"
BRG-0835,"Barang Contoh Ke-835",133,"Survei dan Pemetaan"
BRG-0836,"Barang Contoh Ke-836",322,"Penataan dan Pemberdayaan"
BRG-0837,"Barang Contoh Ke-837",61,"Survei dan Pemetaan"
BRG-0838,"Barang Contoh Ke-838",325,"Penataan dan Pemberdayaan"
BRG-0839,"Barang Contoh Ke-839",269,"Penetapan Hak dan Pendaftaran"
BRG-0840,"Barang Contoh Ke-840",201,"Penataan dan Pemberdayaan"
BRG-0841,"Barang Contoh Ke-841",15,"Survei dan Pemetaan"
BRG-0842,"Barang Contoh Ke-842",334,"Pengendalian dan Penanganan Sengketa"
BRG-0843,"Barang Contoh Ke-843",321,"Pengendalian dan Penanganan Sengketa"
BRG-0844,"Barang Contoh Ke-844",201,"Penataan dan Pemberdayaan"
BRG-0845,"Barang Contoh Ke-845",426,"Pengadaan Tanah dan Pengembangan"
BRG-0846,"Barang Contoh Ke-846",254,"Tata Usaha"
BRG-0847,"Barang Contoh Ke-847",368,"Pengadaan Tanah dan Pengembangan"
BRG-0848,"Barang Contoh Ke-848",66,"Pengadaan Tanah dan Pengembangan"
BRG-0849,"Barang Contoh Ke-849",422,"Pengendalian dan Penanganan Sengketa"
BRG-0850,"Barang Contoh Ke-850",232,"Pengendalian dan Penanganan Sengketa"
BRG-0851,"Barang Contoh Ke-851",473,"Survei dan Pemetaan"
BRG-0852,"Barang Contoh Ke-852",89,"Survei dan Pemetaan"
BRG-0853,"Barang Contoh Ke-853",43,"Survei dan Pemetaan"
BRG-0854,"Barang Contoh Ke-854",291,"Penataan dan Pemberdayaan"
BRG-0855,"Barang Contoh Ke-855",18,"Penataan dan Pemberdayaan"
BRG-0856,"Barang Contoh Ke-856",266,"Pengadaan Tanah dan Pengembangan"
BRG-0857,"Barang Contoh Ke-857",373,"Pengadaan Tanah dan Pengembangan"
BRG-0858,"Barang Contoh Ke-858",109,"Pengendalian dan Penanganan Sengketa"
BRG-0859,"Barang Contoh Ke-859",439,"Tata Usaha"
BRG-0860,"Barang Contoh Ke-860",337,"Tata Usaha"
BRG-0861,"Barang Contoh Ke-861",66,"Tata Usaha"
BRG-0862,"Barang Contoh Ke-862",136,"Penataan dan Pemberdayaan"
BRG-0863,"Barang Contoh Ke-863",206,"Pengendalian dan Penanganan Sengketa"
BRG-0864,"Barang Contoh Ke-864",317,"Survei dan Pemetaan"
BRG-0865,"Barang Contoh Ke-865",23,"Survei dan Pemetaan"
BRG-0866,"Barang Contoh Ke-866",353,"Penetapan Hak dan Pendaftaran"
BRG-0867,"Barang Contoh Ke-867",175,"Penataan dan Pemberdayaan"
BRG-0868,"Barang Contoh Ke-868",277,"Tata Usaha"
BRG-0869,"Barang Contoh Ke-869",235,"Survei dan Pemetaan"
BRG-0870,"Barang Contoh Ke-870",211,"Survei dan Pemetaan"
BRG-0871,"Barang Contoh Ke-871",494,"Survei dan Pemetaan"
BRG-0872,"Barang Contoh Ke-872",182,"Tata Usaha"
BRG-0873,"Barang Contoh Ke-873",364,"Pengadaan Tanah dan Pengembangan"
BRG-0874,"Barang Contoh Ke-874",65,"Penataan dan Pemberdayaan"
BRG-0875,"Barang Contoh Ke-875",180,"Penataan dan Pemberdayaan"
BRG-0876,"Barang Contoh Ke-876",77,"Penetapan Hak dan Pendaftaran"
BRG-0877,"Barang Contoh Ke-877",391,"Penetapan Hak dan Pendaftaran"
BRG-0878,"Barang Contoh Ke-878",254,"Penetapan Hak dan Pendaftaran"
BRG-0879,"Barang Contoh Ke-879",437,"Pengendalian dan Penanganan Sengketa"
BRG-0880,"Barang Contoh Ke-880",358,"Pengendalian dan Penanganan Sengketa"
BRG-0881,"Barang Contoh Ke-881",459,"Survei dan Pemetaan"
BRG-0882,"Barang Contoh Ke-882",273,"Tata Usaha"
BRG-0883,"Barang Contoh Ke-883",296,"Tata Usaha"
BRG-0884,"Barang Contoh Ke-884",44,"Pengadaan Tanah dan Pengembangan"
BRG-0885,"Barang Contoh Ke-885",85,"Tata Usaha"
BRG-0886,"Barang Contoh Ke-886",349,"Penataan dan Pemberdayaan"
BRG-0887,"Barang Contoh Ke-887",65,"Survei dan Pemetaan"
BRG-0888,"Barang Contoh Ke-888",354,"Penetapan Hak dan Pendaftaran"
BRG-0889,"Barang Contoh Ke-889",272,"Penataan dan Pemberdayaan"
BRG-0890,"Barang Contoh Ke-890",442,"Survei dan Pemetaan"
BRG-0891,"Barang Contoh Ke-891",349,"Tata Usaha"
BRG-0892,"Barang Contoh Ke-892",495,"Penetapan Hak dan Pendaftaran"
BRG-0893,"Barang Contoh Ke-893",355,"Pengadaan Tanah dan Pengembangan"
BRG-0894,"Barang Contoh Ke-894",339,"Penataan dan Pemberdayaan"
BRG-0895,"Barang Contoh Ke-895",293,"Penetapan Hak dan Pendaftaran"
BRG-0896,"Barang Contoh Ke-896",58,"Pengadaan Tanah dan Pengembangan"
BRG-0897,"Barang Contoh Ke-897",175,"Tata Usaha"
BRG-0898,"Barang Contoh Ke-898",51,"Tata Usaha"
BRG-0899,"Barang Contoh Ke-899",53,"Tata Usaha"
BRG-0900,"Barang Contoh Ke-900",113,"Survei dan Pemetaan"
BRG-0901,"Barang Contoh Ke-901",57,"Survei dan Pemetaan"
BRG-0902,"Barang Contoh Ke-902",445,"Survei dan Pemetaan"
BRG-0903,"Barang Contoh Ke-903",306,"Penetapan Hak dan Pendaftaran"
BRG-0904,"Barang Contoh Ke-904",36,"Survei dan Pemetaan"
BRG-0905,"Barang Contoh Ke-905",280,"Pengadaan Tanah dan Pengembangan"
BRG-0906,"Barang Contoh Ke-906",179,"Penetapan Hak dan Pendaftaran"
BRG-0907,"Barang Contoh Ke-907",291,"Pengadaan Tanah dan Pengembangan"
BRG-0908,"Barang Contoh Ke-908",376,"Pengendalian dan Penanganan Sengketa"
BRG-0909,"Barang Contoh Ke-909",156,"Penetapan Hak dan Pendaftaran"
BRG-0910,"Barang Contoh Ke-910",356,"Penetapan Hak dan Pendaftaran"
BRG-0911,"Barang Contoh Ke-911",347,"Tata Usaha"
BRG-0912,"Barang Contoh Ke-912",445,"Penetapan Hak dan Pendaftaran"
BRG-0913,"Barang Contoh Ke-913",193,"Survei dan Pemetaan"
BRG-0914,"Barang Contoh Ke-914",173,"Penetapan Hak dan Pendaftaran"
BRG-0915,"Barang Contoh Ke-915",190,"Tata Usaha"
BRG-0916,"Barang Contoh Ke-916",226,"Pengendalian dan Penanganan Sengketa"
BRG-0917,"Barang Contoh Ke-917",381,"Penataan dan Pemberdayaan"
BRG-0918,"Barang Contoh Ke-918",135,"Penataan dan Pemberdayaan"
BRG-0919,"Barang Contoh Ke-919",470,"Penataan dan Pemberdayaan"
BRG-0920,"Barang Contoh Ke-920",499,"Survei dan Pemetaan"
BRG-0921,"Barang Contoh Ke-921",118,"Pengadaan Tanah dan Pengembangan"
BRG-0922,"Barang Contoh Ke-922",264,"Survei dan Pemetaan"
BRG-0923,"Barang Contoh Ke-923",415,"Penetapan Hak dan Pendaftaran"
BRG-0924,"Barang Contoh Ke-924",50,"Survei dan Pemetaan"
BRG-0925,"Barang Contoh Ke-925",135,"Survei dan Pemetaan"
BRG-0926,"Barang Contoh Ke-926",248,"Survei dan Pemetaan"
BRG-0927,"Barang Contoh Ke-927",141,"Pengadaan Tanah dan Pengembangan"
BRG-0928,"Barang Contoh Ke-928",467,"Pengadaan Tanah dan Pengembangan"
BRG-0929,"Barang Contoh Ke-929",223,"Tata Usaha"
BRG-0930,"Barang Contoh Ke-930",281,"Pengendalian dan Penanganan Sengketa"
BRG-0931,"Barang Contoh Ke-931",66,"Survei dan Pemetaan"
BRG-0932,"Barang Contoh Ke-932",337,"Penataan dan Pemberdayaan"
BRG-0933,"Barang Contoh Ke-933",245,"Penataan dan Pemberdayaan"
BRG-0934,"Barang Contoh Ke-934",318,"Pengendalian dan Penanganan Sengketa"
BRG-0935,"Barang Contoh Ke-935",453,"Penetapan Hak dan Pendaftaran"
BRG-0936,"Barang Contoh Ke-936",237,"Penataan dan Pemberdayaan"
BRG-0937,"Barang Contoh Ke-937",272,"Tata Usaha"
BRG-0938,"Barang Contoh Ke-938",130,"Penataan dan Pemberdayaan"
BRG-0939,"Barang Contoh Ke-939",137,"Survei dan Pemetaan"
BRG-0940,"Barang Contoh Ke-940",132,"Tata Usaha"
BRG-0941,"Barang Contoh Ke-941",196,"Survei dan Pemetaan"
BRG-0942,"Barang Contoh Ke-942",477,"Pengendalian dan Penanganan Sengketa"
BRG-0943,"Barang Contoh Ke-943",306,"Penataan dan Pemberdayaan"
BRG-0944,"Barang Contoh Ke-944",267,"Survei dan Pemetaan"
BRG-0945,"Barang Contoh Ke-945",357,"Tata Usaha"
BRG-0946,"Barang Contoh Ke-946",138,"Survei dan Pemetaan"
BRG-0947,"Barang Contoh Ke-947",164,"Pengadaan Tanah dan Pengembangan"
BRG-0948,"Barang Contoh Ke-948",278,"Survei dan Pemetaan"
BRG-0949,"Barang Contoh Ke-949",123,"Penataan dan Pemberdayaan"
BRG-0950,"Barang Contoh Ke-950",492,"Pengendalian dan Penanganan Sengketa"
BRG-0951,"Barang Contoh Ke-951",310,"Tata Usaha"
BRG-0952,"Barang Contoh Ke-952",106,"Tata Usaha"
BRG-0953,"Barang Contoh Ke-953",422,"Penataan dan Pemberdayaan"
BRG-0954,"Barang Contoh Ke-954",463,"Penetapan Hak dan Pendaftaran"
BRG-0955,"Barang Contoh Ke-955",333,"Survei dan Pemetaan"
BRG-0956,"Barang Contoh Ke-956",307,"Penataan dan Pemberdayaan"
BRG-0957,"Barang Contoh Ke-957",268,"Penetapan Hak dan Pendaftaran"
BRG-0958,"Barang Contoh Ke-958",124,"Pengadaan Tanah dan Pengembangan"
BRG-0959,"Barang Contoh Ke-959",175,"Pengendalian dan Penanganan Sengketa"
BRG-0960,"Barang Contoh Ke-960",303,"Penetapan Hak dan Pendaftaran"
BRG-0961,"Barang Contoh Ke-961",224,"Pengadaan Tanah dan Pengembangan"
BRG-0962,"Barang Contoh Ke-962",462,"Survei dan Pemetaan"
BRG-0963,"Barang Contoh Ke-963",500,"Tata Usaha"
BRG-0964,"Barang Contoh Ke-964",365,"Pengendalian dan Penanganan Sengketa"
BRG-0965,"Barang Contoh Ke-965",95,"Survei dan Pemetaan"
BRG-0966,"Barang Contoh Ke-966",193,"Pengadaan Tanah dan Pengembangan"
BRG-0967,"Barang Contoh Ke-967",249,"Tata Usaha"
BRG-0968,"Barang Contoh Ke-968",123,"Pengendalian dan Penanganan Sengketa"
BRG-0969,"Barang Contoh Ke-969",78,"Pengadaan Tanah dan Pengembangan"
BRG-0970,"Barang Contoh Ke-970",206,"Survei dan Pemetaan"
BRG-0971,"Barang Contoh Ke-971",405,"Survei dan Pemetaan"
BRG-0972,"Barang Contoh Ke-972",59,"Survei dan Pemetaan"
BRG-0973,"Barang Contoh Ke-973",458,"Tata Usaha"
BRG-0974,"Barang Contoh Ke-974",265,"Survei dan Pemetaan"
BRG-0975,"Barang Contoh Ke-975",483,"Pengadaan Tanah dan Pengembangan"
BRG-0976,"Barang Contoh Ke-976",289,"Survei dan Pemetaan"
BRG-0977,"Barang Contoh Ke-977",401,"Survei dan Pemetaan"
BRG-0978,"Barang Contoh Ke-978",285,"Penetapan Hak dan Pendaftaran"
BRG-0979,"Barang Contoh Ke-979",388,"Survei dan Pemetaan"
BRG-0980,"Barang Contoh Ke-980",208,"Tata Usaha"
BRG-0981,"Barang Contoh Ke-981",258,"Pengadaan Tanah dan Pengembangan"
BRG-0982,"Barang Contoh Ke-982",13,"Penetapan Hak dan Pendaftaran"
BRG-0983,"Barang Contoh Ke-983",439,"Survei dan Pemetaan"
BRG-0984,"Barang Contoh Ke-984",112,"Pengendalian dan Penanganan Sengketa"
BRG-0985,"Barang Contoh Ke-985",164,"Pengadaan Tanah dan Pengembangan"
BRG-0986,"Barang Contoh Ke-986",138,"Survei dan Pemetaan"
BRG-0987,"Barang Contoh Ke-987",287,"Survei dan Pemetaan"
BRG-0988,"Barang Contoh Ke-988",21,"Penataan dan Pemberdayaan"
BRG-0989,"Barang Contoh Ke-989",92,"Pengendalian dan Penanganan Sengketa"
BRG-0990,"Barang Contoh Ke-990",460,"Penetapan Hak dan Pendaftaran"
BRG-0991,"Barang Contoh Ke-991",459,"Penataan dan Pemberdayaan"
BRG-0992,"Barang Contoh Ke-992",476,"Pengendalian dan Penanganan Sengketa"
BRG-0993,"Barang Contoh Ke-993",16,"Survei dan Pemetaan"
BRG-0994,"Barang Contoh Ke-994",376,"Penataan dan Pemberdayaan"
BRG-0995,"Barang Contoh Ke-995",98,"Pengadaan Tanah dan Pengembangan"
BRG-0996,"Barang Contoh Ke-996",94,"Pengadaan Tanah dan Pengembangan"
BRG-0997,"Barang Contoh Ke-997",203,"Penataan dan Pemberdayaan"
BRG-0998,"Barang Contoh Ke-998",101,"Survei dan Pemetaan"
BRG-0999,"Barang Contoh Ke-999",160,"Pengendalian dan Penanganan Sengketa"
BRG-1000,"Barang Contoh Ke-1000",130,"Penataan dan Pemberdayaan"
BRG-0001,"Barang Contoh Ke-1",161,"Penetapan Hak dan Pendaftaran"
BRG-0002,"Barang Contoh Ke-2",496,"Penetapan Hak dan Pendaftaran"
BRG-0003,"Barang Contoh Ke-3",257,"Pengadaan Tanah dan Pengembangan"
BRG-0004,"Barang Contoh Ke-4",240,"Penetapan Hak dan Pendaftaran"
BRG-0005,"Barang Contoh Ke-5",436,"Tata Usaha"
BRG-0006,"Barang Contoh Ke-6",201,"Pengadaan Tanah dan Pengembangan"
BRG-0007,"Barang Contoh Ke-7",415,"Pengendalian dan Penanganan Sengketa"
BRG-0008,"Barang Contoh Ke-8",362,"Pengadaan Tanah dan Pengembangan"
BRG-0009,"Barang Contoh Ke-9",416,"Tata Usaha"
BRG-0010,"Barang Contoh Ke-10",249,"Tata Usaha"
BRG-0011,"Barang Contoh Ke-11",65,"Survei dan Pemetaan"
BRG-0012,"Barang Contoh Ke-12",436,"Survei dan Pemetaan"
BRG-0013,"Barang Contoh Ke-13",410,"Pengendalian dan Penanganan Sengketa"
BRG-0014,"Barang Contoh Ke-14",268,"Survei dan Pemetaan"
BRG-0015,"Barang Contoh Ke-15",72,"Penataan dan Pemberdayaan"
BRG-0016,"Barang Contoh Ke-16",487,"Pengendalian dan Penanganan Sengketa"
BRG-0017,"Barang Contoh Ke-17",338,"Pengendalian dan Penanganan Sengketa"
BRG-0018,"Barang Contoh Ke-18",156,"Pengendalian dan Penanganan Sengketa"
BRG-0019,"Barang Contoh Ke-19",97,"Penetapan Hak dan Pendaftaran"
BRG-0020,"Barang Contoh Ke-20",352,"Tata Usaha"
BRG-0021,"Barang Contoh Ke-21",122,"Survei dan Pemetaan"
BRG-0022,"Barang Contoh Ke-22",255,"Penetapan Hak dan Pendaftaran"
BRG-0023,"Barang Contoh Ke-23",470,"Tata Usaha"
BRG-0024,"Barang Contoh Ke-24",448,"Pengendalian dan Penanganan Sengketa"
BRG-0025,"Barang Contoh Ke-25",130,"Pengendalian dan Penanganan Sengketa"
BRG-0026,"Barang Contoh Ke-26",198,"Pengadaan Tanah dan Pengembangan"
BRG-0027,"Barang Contoh Ke-27",221,"Tata Usaha"
BRG-0028,"Barang Contoh Ke-28",338,"Survei dan Pemetaan"
BRG-0029,"Barang Contoh Ke-29",15,"Penataan dan Pemberdayaan"
BRG-0030,"Barang Contoh Ke-30",108,"Penataan dan Pemberdayaan"
BRG-0031,"Barang Contoh Ke-31",399,"Penataan dan Pemberdayaan"
BRG-0032,"Barang Contoh Ke-32",101,"Penataan dan Pemberdayaan"
BRG-0033,"Barang Contoh Ke-33",37,"Penataan dan Pemberdayaan"
BRG-0034,"Barang Contoh Ke-34",116,"Tata Usaha"
BRG-0035,"Barang Contoh Ke-35",152,"Tata Usaha"
BRG-0036,"Barang Contoh Ke-36",379,"Pengadaan Tanah dan Pengembangan"
BRG-0037,"Barang Contoh Ke-37",379,"Penataan dan Pemberdayaan"
BRG-0038,"Barang Contoh Ke-38",392,"Pengendalian dan Penanganan Sengketa"
BRG-0039,"Barang Contoh Ke-39",294,"Tata Usaha"
BRG-0040,"Barang Contoh Ke-40",201,"Pengadaan Tanah dan Pengembangan"
BRG-0041,"Barang Contoh Ke-41",324,"Pengendalian dan Penanganan Sengketa"
BRG-0042,"Barang Contoh Ke-42",71,"Tata Usaha"
BRG-0043,"Barang Contoh Ke-43",317,"Pengadaan Tanah dan Pengembangan"
BRG-0044,"Barang Contoh Ke-44",330,"Survei dan Pemetaan"
BRG-0045,"Barang Contoh Ke-45",369,"Survei dan Pemetaan"
BRG-0046,"Barang Contoh Ke-46",297,"Pengadaan Tanah dan Pengembangan"
BRG-0047,"Barang Contoh Ke-47",145,"Penataan dan Pemberdayaan"
BRG-0048,"Barang Contoh Ke-48",120,"Pengadaan Tanah dan Pengembangan"
BRG-0049,"Barang Contoh Ke-49",114,"Penataan dan Pemberdayaan"
BRG-0050,"Barang Contoh Ke-50",266,"Pengendalian dan Penanganan Sengketa"
BRG-0051,"Barang Contoh Ke-51",151,"Penataan dan Pemberdayaan"
BRG-0052,"Barang Contoh Ke-52",161,"Penataan dan Pemberdayaan"
BRG-0053,"Barang Contoh Ke-53",410,"Tata Usaha"
BRG-0054,"Barang Contoh Ke-54",404,"Pengendalian dan Penanganan Sengketa"
BRG-0055,"Barang Contoh Ke-55",393,"Penetapan Hak dan Pendaftaran"
BRG-0056,"Barang Contoh Ke-56",253,"Penetapan Hak dan Pendaftaran"
BRG-0057,"Barang Contoh Ke-57",70,"Survei dan Pemetaan"
BRG-0058,"Barang Contoh Ke-58",124,"Pengendalian dan Penanganan Sengketa"
BRG-0059,"Barang Contoh Ke-59",316,"Pengendalian dan Penanganan Sengketa"
BRG-0060,"Barang Contoh Ke-60",257,"Pengadaan Tanah dan Pengembangan"
BRG-0061,"Barang Contoh Ke-61",269,"Penetapan Hak dan Pendaftaran"
BRG-0062,"Barang Contoh Ke-62",371,"Pengadaan Tanah dan Pengembangan"
BRG-0063,"Barang Contoh Ke-63",222,"Penataan dan Pemberdayaan"
BRG-0064,"Barang Contoh Ke-64",114,"Penetapan Hak dan Pendaftaran"
BRG-0065,"Barang Contoh Ke-65",204,"Penataan dan Pemberdayaan"
BRG-0066,"Barang Contoh Ke-66",490,"Survei dan Pemetaan"
BRG-0067,"Barang Contoh Ke-67",89,"Pengendalian dan Penanganan Sengketa"
BRG-0068,"Barang Contoh Ke-68",88,"Pengendalian dan Penanganan Sengketa"
BRG-0069,"Barang Contoh Ke-69",75,"Penataan dan Pemberdayaan"
BRG-0070,"Barang Contoh Ke-70",455,"Pengadaan Tanah dan Pengembangan"
BRG-0071,"Barang Contoh Ke-71",183,"Pengadaan Tanah dan Pengembangan"
BRG-0072,"Barang Contoh Ke-72",407,"Tata Usaha"
BRG-0073,"Barang Contoh Ke-73",429,"Pengadaan Tanah dan Pengembangan"
BRG-0074,"Barang Contoh Ke-74",441,"Pengadaan Tanah dan Pengembangan"
BRG-0075,"Barang Contoh Ke-75",323,"Survei dan Pemetaan"
BRG-0076,"Barang Contoh Ke-76",499,"Tata Usaha"
BRG-0077,"Barang Contoh Ke-77",279,"Pengadaan Tanah dan Pengembangan"
BRG-0078,"Barang Contoh Ke-78",196,"Pengadaan Tanah dan Pengembangan"
BRG-0079,"Barang Contoh Ke-79",370,"Pengendalian dan Penanganan Sengketa"
BRG-0080,"Barang Contoh Ke-80",425,"Pengendalian dan Penanganan Sengketa"
BRG-0081,"Barang Contoh Ke-81",163,"Pengendalian dan Penanganan Sengketa"
BRG-0082,"Barang Contoh Ke-82",380,"Pengendalian dan Penanganan Sengketa"
BRG-0083,"Barang Contoh Ke-83",26,"Pengendalian dan Penanganan Sengketa"
BRG-0084,"Barang Contoh Ke-84",334,"Survei dan Pemetaan"
BRG-0085,"Barang Contoh Ke-85",125,"Survei dan Pemetaan"
BRG-0086,"Barang Contoh Ke-86",122,"Penataan dan Pemberdayaan"
BRG-0087,"Barang Contoh Ke-87",219,"Survei dan Pemetaan"
BRG-0088,"Barang Contoh Ke-88",29,"Penetapan Hak dan Pendaftaran"
BRG-0089,"Barang Contoh Ke-89",297,"Pengadaan Tanah dan Pengembangan"
BRG-0090,"Barang Contoh Ke-90",221,"Pengendalian dan Penanganan Sengketa"
BRG-0091,"Barang Contoh Ke-91",380,"Pengendalian dan Penanganan Sengketa"
BRG-0092,"Barang Contoh Ke-92",189,"Penataan dan Pemberdayaan"
BRG-0093,"Barang Contoh Ke-93",17,"Penetapan Hak dan Pendaftaran"
BRG-0094,"Barang Contoh Ke-94",88,"Pengendalian dan Penanganan Sengketa"
BRG-0095,"Barang Contoh Ke-95",356,"Survei dan Pemetaan"
BRG-0096,"Barang Contoh Ke-96",474,"Penetapan Hak dan Pendaftaran"
BRG-0097,"Barang Contoh Ke-97",436,"Penetapan Hak dan Pendaftaran"
BRG-0098,"Barang Contoh Ke-98",325,"Survei dan Pemetaan"
BRG-0099,"Barang Contoh Ke-99",61,"Tata Usaha"
BRG-0100,"Barang Contoh Ke-100",416,"Tata Usaha"
BRG-0101,"Barang Contoh Ke-101",199,"Penetapan Hak dan Pendaftaran"
BRG-0102,"Barang Contoh Ke-102",44,"Penataan dan Pemberdayaan"
BRG-0103,"Barang Contoh Ke-103",84,"Survei dan Pemetaan"
BRG-0104,"Barang Contoh Ke-104",225,"Pengadaan Tanah dan Pengembangan"
BRG-0105,"Barang Contoh Ke-105",123,"Pengadaan Tanah dan Pengembangan"
BRG-0106,"Barang Contoh Ke-106",117,"Penetapan Hak dan Pendaftaran"
BRG-0107,"Barang Contoh Ke-107",123,"Penataan dan Pemberdayaan"
BRG-0108,"Barang Contoh Ke-108",176,"Survei dan Pemetaan"
BRG-0109,"Barang Contoh Ke-109",497,"Survei dan Pemetaan"
BRG-0110,"Barang Contoh Ke-110",457,"Tata Usaha"
BRG-0111,"Barang Contoh Ke-111",246,"Pengadaan Tanah dan Pengembangan"
BRG-0112,"Barang Contoh Ke-112",336,"Survei dan Pemetaan"
BRG-0113,"Barang Contoh Ke-113",306,"Tata Usaha"
BRG-0114,"Barang Contoh Ke-114",356,"Pengendalian dan Penanganan Sengketa"
BRG-0115,"Barang Contoh Ke-115",400,"Penataan dan Pemberdayaan"
BRG-0116,"Barang Contoh Ke-116",15,"Penataan dan Pemberdayaan"
BRG-0117,"Barang Contoh Ke-117",494,"Pengadaan Tanah dan Pengembangan"
BRG-0118,"Barang Contoh Ke-118",203,"Pengendalian dan Penanganan Sengketa"
BRG-0119,"Barang Contoh Ke-119",481,"Tata Usaha"
BRG-0120,"Barang Contoh Ke-120",173,"Penetapan Hak dan Pendaftaran"
BRG-0121,"Barang Contoh Ke-121",30,"Pengendalian dan Penanganan Sengketa"
BRG-0122,"Barang Contoh Ke-122",26,"Pengendalian dan Penanganan Sengketa"
BRG-0123,"Barang Contoh Ke-123",220,"Pengadaan Tanah dan Pengembangan"
BRG-0124,"Barang Contoh Ke-124",314,"Survei dan Pemetaan"
BRG-0125,"Barang Contoh Ke-125",124,"Pengadaan Tanah dan Pengembangan"
BRG-0126,"Barang Contoh Ke-126",349,"Penataan dan Pemberdayaan"
BRG-0127,"Barang Contoh Ke-127",346,"Penataan dan Pemberdayaan"
BRG-0128,"Barang Contoh Ke-128",395,"Penataan dan Pemberdayaan"
BRG-0129,"Barang Contoh Ke-129",241,"Tata Usaha"
BRG-0130,"Barang Contoh Ke-130",495,"Pengendalian dan Penanganan Sengketa"
BRG-0131,"Barang Contoh Ke-131",451,"Survei dan Pemetaan"
BRG-0132,"Barang Contoh Ke-132",83,"Pengendalian dan Penanganan Sengketa"
BRG-0133,"Barang Contoh Ke-133",319,"Pengendalian dan Penanganan Sengketa"
BRG-0134,"Barang Contoh Ke-134",216,"Pengadaan Tanah dan Pengembangan"
BRG-0135,"Barang Contoh Ke-135",36,"Pengendalian dan Penanganan Sengketa"
BRG-0136,"Barang Contoh Ke-136",422,"Pengadaan Tanah dan Pengembangan"
BRG-0137,"Barang Contoh Ke-137",200,"Survei dan Pemetaan"
BRG-0138,"Barang Contoh Ke-138",470,"Pengendalian dan Penanganan Sengketa"
BRG-0139,"Barang Contoh Ke-139",276,"Tata Usaha"
BRG-0140,"Barang Contoh Ke-140",325,"Penetapan Hak dan Pendaftaran"
BRG-0141,"Barang Contoh Ke-141",274,"Pengendalian dan Penanganan Sengketa"
BRG-0142,"Barang Contoh Ke-142",95,"Pengendalian dan Penanganan Sengketa"
BRG-0143,"Barang Contoh Ke-143",462,"Tata Usaha"
BRG-0144,"Barang Contoh Ke-144",88,"Survei dan Pemetaan"
BRG-0145,"Barang Contoh Ke-145",208,"Tata Usaha"
BRG-0146,"Barang Contoh Ke-146",367,"Penetapan Hak dan Pendaftaran"
BRG-0147,"Barang Contoh Ke-147",43,"Pengadaan Tanah dan Pengembangan"
BRG-0148,"Barang Contoh Ke-148",154,"Pengendalian dan Penanganan Sengketa"
BRG-0149,"Barang Contoh Ke-149",166,"Penetapan Hak dan Pendaftaran"
BRG-0150,"Barang Contoh Ke-150",129,"Pengadaan Tanah dan Pengembangan"
BRG-0151,"Barang Contoh Ke-151",285,"Tata Usaha"
BRG-0152,"Barang Contoh Ke-152",469,"Survei dan Pemetaan"
BRG-0153,"Barang Contoh Ke-153",249,"Survei dan Pemetaan"
BRG-0154,"Barang Contoh Ke-154",41,"Pengadaan Tanah dan Pengembangan"
BRG-0155,"Barang Contoh Ke-155",435,"Pengendalian dan Penanganan Sengketa"
